id_usuari,data_activitat,hora_inici,durada_minuts,tipus_activitat,calories,dispositiu
1,2023-11-20,10:30,60,córrer,600,smartwatch
3,2023-11-15,14:15,45,bicicleta,450,mòbil
7,2023-12-01,18:00,90,ioga,300,pulsera
2,2023-11-28,09:00,30,caminar,150,smartwatch
5,2023-11-22,16:45,75,natació,700,mòbil
9,2023-11-10,12:30,120,halterofília,800,pulsera
4,2023-12-05,11:00,20,pilates,100,smartwatch
8,2023-11-18,17:20,55,bicicleta,500,mòbil
6,2023-11-25,13:40,80,córrer,750,pulsera
10,2023-11-03,19:15,35,caminar,200,smartwatch
1,2023-12-08,15:00,100,ioga,350,mòbil
2,2023-12-12,08:00,50,caminar,220,smartwatch
3,2023-12-13,10:15,40,córrer,450,mòbil
4,2023-12-14,16:00,70,natació,650,pulsera
5,2023-12-15,18:30,60,halterofília,780,smartwatch
6,2023-12-16,11:45,30,pilates,120,mòbil
7,2023-12-17,07:00,25,ioga,90,pulsera
8,2023-12-18,13:20,40,bicicleta,470,mòbil
9,2023-12-19,17:40,100,córrer,820,smartwatch
10,2023-12-20,19:00,30,caminar,180,pulsera
1,2023-12-21,09:30,45,ioga,300,mòbil
2,2023-12-22,15:45,60,natació,600,smartwatch
3,2023-12-23,06:50,90,bicicleta,700,pulsera
4,2023-12-24,20:10,35,córrer,500,mòbil
5,2023-12-25,12:15,50,caminar,210,smartwatch
