id_usuari,data_activitat,hora_inici,durada_minuts,tipus_activitat,calories,dispositiu
1,2025-04-28,08:00,30,caminar,120,mobil
2,2025-04-28,09:00,45,correr,400,smartwatch
3,2025-04-28,10:00,60,bicicleta,350,pulsera
4,2025-04-28,11:00,30,ioga,100,mobil
5,2025-04-28,12:00,45,natacio,250,smartwatch
6,2025-04-29,13:00,60,caminar,200,pulsera
7,2025-04-29,14:00,30,correr,280,mobil
8,2025-04-29,15:00,45,bicicleta,300,smartwatch
9,2025-04-29,16:00,60,ioga,150,pulsera
10,2025-04-29,17:00,30,natacio,180,mobil
1,2025-04-30,08:30,45,caminar,180,smartwatch
2,2025-04-30,09:30,60,correr,500,pulsera
3,2025-04-30,10:30,30,bicicleta,200,mobil
4,2025-04-30,11:30,45,ioga,130,smartwatch
5,2025-04-30,12:30,60,natacio,300,pulsera
6,2025-04-30,13:30,30,caminar,150,mobil
7,2025-04-30,14:30,45,correr,420,smartwatch
8,2025-04-30,15:30,60,bicicleta,380,pulsera
9,2025-04-30,16:30,30,ioga,110,mobil
10,2025-04-30,17:30,45,natacio,270,smartwatch
1,2025-04-30,08:15,60,caminar,250,pulsera
2,2025-04-30,09:15,30,correr,350,mobil
3,2025-04-30,10:15,45,bicicleta,280,smartwatch
4,2025-04-30,11:15,60,ioga,180,pulsera
5,2025-04-30,12:15,30,natacio,220,mobil
